,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-07-27 00:00:00+00:00,65.93,66.43,,,,0.9496518681569995,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-28 00:00:00+00:00,66.23,64.86,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9763.661
2020-07-29 00:00:00+00:00,67.47,67.35,,,,0.8967341485377777,10000.0,0.0,0.0,10000.0,0,0.0,10138.491
2020-07-30 00:00:00+00:00,66.55,66.56,,,,0.9082504216574712,10000.0,0.0,0.0,10000.0,0,0.0,10019.569
2020-07-31 00:00:00+00:00,66.26,66.47,,,,0.8967341485377777,10000.0,0.0,0.0,10000.0,0,0.0,10006.021
2020-08-03 00:00:00+00:00,66.45,65.59,,,,0.9496518681569995,10000.0,0.0,0.0,10000.0,0,0.0,9873.55
2020-08-04 00:00:00+00:00,65.42,65.23,,,,0.9489386452645722,10000.0,0.0,0.0,10000.0,0,0.0,9819.358
2020-08-05 00:00:00+00:00,65.48,65.84,,,,0.9419745719104656,10000.0,0.0,0.0,10000.0,0,0.0,9911.184
2020-08-06 00:00:00+00:00,65.67,66.09,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9948.816
2020-08-07 00:00:00+00:00,65.89,66.2,,,,0.9780195320316744,10000.0,0.0,0.0,10000.0,0,0.0,9965.375
2020-08-10 00:00:00+00:00,66.29,67.67,,,,0.9496518681569995,10000.0,0.0,0.0,10000.0,0,0.0,10186.661
2020-08-11 00:00:00+00:00,68.36,68.92,,,,0.875,10000.0,0.0,0.0,10000.0,0,0.0,10374.828
2020-08-12 00:00:00+00:00,69.49,69.28,,,,0.875,10000.0,0.0,0.0,10000.0,0,0.0,10429.021
2020-08-13 00:00:00+00:00,68.93,68.98,,63.92962,,0.525,10000.0,0.0,0.0,10000.0,0,0.0,10383.861
2020-08-14 00:00:00+00:00,68.8,68.43,,62.10826,1.2614286,0.525,-10.0,9995.002498750626,0.0,9985.002498750626,1,,10301.066
2020-08-17 00:00:00+00:00,68.67,68.92,,59.025272,1.2464286,0.525,-10.0,10066.572157875531,0.0,10056.572157875531,0,,10374.827
2020-08-18 00:00:00+00:00,69.07,68.96,,70.3,1.1764286,0.875,-10.0,10072.415098663407,0.0,10062.415098663407,0,,10380.85
2020-08-19 00:00:00+00:00,69.02,67.82,,60.66225,1.0,0.875,-10.0,9905.905097528583,0.0,9895.905097528583,0,,10209.241
2020-08-20 00:00:00+00:00,67.22,67.46,,57.97468,0.9885714,0.8964001386466939,-10.0,9853.323055051123,0.0,9843.323055051123,0,,10155.049
2020-08-21 00:00:00+00:00,67.25,67.32,,56.05875,0.99285716,0.9687609488007776,-10.0,9832.874310627092,0.0,9822.874310627092,0,,10133.974
2020-08-24 00:00:00+00:00,67.87,68.65,,61.64199,0.96428573,0.875,-10.0,10027.136866062501,0.0,10017.136866062501,0,,10334.185
2020-08-25 00:00:00+00:00,69.8,72.26,,70.35714,1.0457143,0.930571388753895,-10.0,10554.41989256195,0.0,10544.41989256195,0,,10877.614
2020-08-26 00:00:00+00:00,72.0,71.92,,78.1579,1.2685714,0.525,-10.0,10504.758076491951,0.0,10494.758076491951,0,,10826.432
2020-08-27 00:00:00+00:00,72.29,72.91,,75.36989,1.2664286,0.5507870736024075,-10.0,10649.359591380795,0.0,10639.359591380795,0,,10975.461
2020-08-28 00:00:00+00:00,73.03,74.23,,77.12207,1.3035715,0.99,-10.0,10842.161488890153,0.0,10832.161488890153,0,,11174.167
2020-08-31 00:00:00+00:00,74.3,73.93,,76.84125,1.3035715,0.99,-10.0,10798.342323546172,0.0,10788.342323546172,0,,11129.006
2020-09-01 00:00:00+00:00,74.02,75.18,,72.22715,1.2257143,0.875,-10.0,10980.91994370888,0.0,10970.91994370888,0,,11317.175
2020-09-02 00:00:00+00:00,75.56,77.2,,74.259865,1.2792857,0.525,-10.0,11275.964307201897,0.0,11265.964307201897,0,,11621.254
2020-09-03 00:00:00+00:00,77.58,75.58,,79.610954,1.3992857,0.875,-10.0,11039.34483505625,0.0,11029.34483505625,0,,11377.389
2020-09-04 00:00:00+00:00,75.96,75.39,,73.91304,1.5471429,0.4838709677419355,-10.0,11011.592528171237,0.0,11001.592528171237,0,,11348.786
2020-09-08 00:00:00+00:00,74.54,74.58,,72.08191,1.6507143,0.525,-10.0,10893.28293361407,0.0,10883.28293361407,0,,11226.8545
2020-09-09 00:00:00+00:00,75.03,75.02,,68.22308,1.7628572,0.6100347920834318,-10.0,10957.54968351877,0.0,10947.54968351877,0,,11293.09
2020-09-10 00:00:00+00:00,74.97,74.18,,74.45652,1.7878572,0.8798996884022755,-10.0,10834.85831814279,0.0,10824.85831814279,0,,11166.641
2020-09-11 00:00:00+00:00,74.17,74.54,,72.10526,1.87,0.525,-10.0,10887.439995833724,0.0,10877.439995833724,0,,11220.832
2020-09-14 00:00:00+00:00,74.89,75.71,,73.411156,1.9407142,0.875,-10.0,11058.332380392809,0.0,11048.332380392809,0,,11396.958
2020-09-15 00:00:00+00:00,76.43,76.67,,73.13237,1.9207143,0.99,-10.0,11198.551310673642,0.0,11188.551310673642,0,,11541.471
2020-09-16 00:00:00+00:00,76.91,77.17,,67.48612,1.7371428,0.875,-10.0,11271.582253113878,0.0,11261.582253113878,0,,11616.738
2020-09-17 00:00:00+00:00,75.9,75.71,,70.55599,1.7878572,0.525,-10.0,11058.332601555157,0.0,11048.332601555157,0,,11396.958
2020-09-18 00:00:00+00:00,75.74,74.17,,60.574017,1.8907143,0.6836147158694562,-10.0,10833.397266618067,0.0,10823.397266618067,0,,11165.135
2020-09-21 00:00:00+00:00,72.36,73.32,,49.77712,1.935,0.875698264772305,-10.0,10709.245174932808,0.0,10699.245174932808,0,,11037.182
2020-09-22 00:00:00+00:00,73.3,73.32,,47.822983,2.0535715,0.525,-10.0,10709.245174932808,0.0,10699.245174932808,0,,11037.182
2020-09-23 00:00:00+00:00,73.75,72.47,,42.711597,2.0164285,0.6150893006416502,-10.0,10585.093064830984,0.0,10575.093064830984,0,,10909.229
2020-09-24 00:00:00+00:00,72.26,72.51,,29.594479,1.9785714,0.525,-10.0,10590.935390624509,0.0,10580.935390624509,0,,10915.25
2020-09-25 00:00:00+00:00,72.16,73.65,,34.665333,1.9085715,0.58068232262379,-10.0,10757.445199402378,0.0,10747.445199402378,0,,11086.858
2020-09-28 00:00:00+00:00,74.58,75.2,,42.062042,1.9107143,0.9114504731139762,-10.0,10983.840435702954,0.0,10973.840435702954,0,,11320.187
2020-09-29 00:00:00+00:00,75.19,74.16,,52.649574,1.855,0.525,-10.0,10831.937128667178,0.0,10821.937128667178,0,,11163.632
2020-09-30 00:00:00+00:00,75.39,75.06,,46.504066,1.8014286,0.525,-10.0,10963.392036979702,0.0,10953.392036979702,0,,11299.112
2020-10-01 00:00:00+00:00,75.92,75.79,,53.55987,1.7857143,0.525,-10.0,11070.017281113764,0.0,11060.017281113764,0,,11409.003
2020-10-02 00:00:00+00:00,74.37,75.66,,54.90966,1.7742857,0.525,-10.0,11051.029512982352,0.0,11041.029512982352,0,,11389.434
2020-10-05 00:00:00+00:00,76.25,77.24,,49.78614,1.7921429,0.525,-10.0,11281.806448562751,0.0,11271.806448562751,0,,11627.277
2020-10-06 00:00:00+00:00,77.5,76.07,,52.31519,1.825,0.525,-10.0,11110.914531810946,0.0,11100.914531810946,0,,11451.152
2020-10-07 00:00:00+00:00,76.64,77.32,,45.76271,1.8771429,0.525,-10.0,11293.492249439776,0.0,11283.492249439776,0,,11639.321
2020-10-08 00:00:00+00:00,77.44,78.21,,56.303837,1.8121428,0.525,-10.0,11423.487240816343,0.0,11413.487240816343,0,,11773.297
2020-10-09 00:00:00+00:00,78.48,78.65,,66.666664,1.7235714,0.875,-10.0,11487.755359775185,0.0,11477.755359775185,0,,11839.533
2020-10-12 00:00:00+00:00,78.94,79.34,,72.75832,1.5757142,0.8956326720219547,-10.0,11588.537084251038,0.0,11578.537084251038,0,,11943.401
2020-10-13 00:00:00+00:00,79.16,78.79,,74.27419,1.5707142,0.875,-10.0,11508.20372977956,0.0,11498.20372977956,0,,11860.607
2020-10-14 00:00:00+00:00,78.79,78.01,,76.1157,1.5085714,0.5736221527853844,-10.0,11394.275557341469,0.0,11384.275557341469,0,,11743.191
2020-10-15 00:00:00+00:00,76.89,77.61,,71.41744,1.4992857,0.875,-10.0,11335.850849148175,0.0,11325.850849148175,0,,11682.978
2020-10-16 00:00:00+00:00,78.03,77.32,,66.36364,1.4478571,0.99,-10.0,11293.493136776046,0.0,11283.493136776046,0,,11639.323
2020-10-19 00:00:00+00:00,77.52,76.51,,59.7786,1.4042857,0.9271777036105314,-10.0,11175.183253107602,0.0,11165.183253107602,0,,11517.39
2020-10-20 00:00:00+00:00,77.23,77.35,,61.07446,1.4492857,0.8434239503283196,-10.0,11297.874887672562,0.0,11287.874887672562,0,,11643.839
2020-10-21 00:00:00+00:00,77.22,77.09,,60.85308,1.4414285,0.99,-10.0,11259.898839893514,0.0,11249.898839893514,0,,11604.7
2020-10-22 00:00:00+00:00,76.89,78.06,,56.448414,1.4078572,0.9529449558331665,-10.0,11401.578315492994,0.0,11391.578315492994,0,,11750.719
2020-10-23 00:00:00+00:00,78.4,79.27,,60.98901,1.3878572,0.99,-10.0,11578.313076485743,0.0,11568.313076485743,0,,11932.865
2020-10-26 00:00:00+00:00,78.66,78.31,,59.620853,1.3557143,0.989932935021869,-10.0,11438.094243344394,0.0,11428.094243344394,0,,11788.353
2020-10-27 00:00:00+00:00,78.19,78.66,,60.831722,1.3528571,0.875,-10.0,11489.216964475923,0.0,11479.216964475923,0,,11841.041
2020-10-28 00:00:00+00:00,77.38,76.12,,57.097458,1.3064286,0.891938509476573,-10.0,11118.220085153287,0.0,11108.220085153287,0,,11458.683
2020-10-29 00:00:00+00:00,75.82,77.24,,40.577095,1.4485714,0.525,-10.0,11281.808302916012,0.0,11271.808302916012,0,,11627.28
2020-10-30 00:00:00+00:00,76.36,76.02,,44.010197,1.5521429,0.9142399159543753,-10.0,11103.612898432262,0.0,11093.612898432262,0,,11443.628
2020-11-02 00:00:00+00:00,76.52,75.06,,36.504066,1.6535715,0.525,-10.0,10963.393618072985,0.0,10953.393618072985,0,,11299.115
2020-11-03 00:00:00+00:00,75.72,77.14,,35.326515,1.7307143,0.525,-10.0,11267.201896355868,0.0,11257.201896355868,0,,11612.227
2020-11-04 00:00:00+00:00,77.65,78.44,,46.895077,1.8014286,0.8926558417426603,-10.0,11457.082394393912,0.0,11447.082394393912,0,,11807.922
2020-11-05 00:00:00+00:00,79.17,79.18,,52.783367,1.8842857,0.525,-10.0,11565.168335056242,0.0,11555.168335056242,0,,11919.318
2020-11-06 00:00:00+00:00,78.83,79.17,,56.054688,1.8942857,0.525,-10.0,11563.707628363189,0.0,11553.707628363189,0,,11917.8125
2020-11-09 00:00:00+00:00,85.0,83.76,,59.134617,1.845,0.525,-10.0,12234.132120615186,0.0,12224.132120615186,0,,12608.767
2020-11-10 00:00:00+00:00,82.27,82.39,,67.5041,2.1485715,0.525,-10.0,12034.02711525468,0.0,12024.02711525468,0,,12402.534
2020-11-11 00:00:00+00:00,82.55,83.4,,63.645725,2.232143,0.875,-10.0,12181.549462749055,0.0,12171.549462749055,0,,12554.574
2020-11-12 00:00:00+00:00,83.09,82.1,,63.72045,2.247857,0.99,-10.0,11991.668728704724,0.0,11981.668728704724,0,,12358.879
2020-11-13 00:00:00+00:00,82.68,83.85,,57.23785,2.297857,0.525,-10.0,12247.276609103177,0.0,12237.276609103177,0,,12622.313
2020-11-16 00:00:00+00:00,84.97,85.82,,63.618484,2.2728572,0.525,-10.0,12535.018569450483,0.0,12525.018569450483,0,,12918.867
2020-11-17 00:00:00+00:00,85.4,86.54,,66.30237,2.3421428,0.7253683867657488,-10.0,12640.183757391174,0.0,12630.183757391174,0,,13027.252
2020-11-18 00:00:00+00:00,86.6,85.99,,75.86892,2.2514286,0.525,-10.0,12559.8495187726,0.0,12549.8495187726,0,,12944.458
2020-11-19 00:00:00+00:00,85.24,85.8,,72.355644,2.1857142,0.46296296296296297,-10.0,12532.098724969184,0.0,12522.098724969184,0,,12915.856
2020-11-20 00:00:00+00:00,85.35,85.13,,76.375404,2.08,0.46296296296296297,-10.0,12434.23652195793,0.0,12424.23652195793,0,,12814.997
2020-11-23 00:00:00+00:00,85.57,85.05,,77.58904,1.9864286,0.525,-10.0,12422.55247743179,0.0,12412.55247743179,0,,12802.956
2020-11-24 00:00:00+00:00,85.52,86.27,,74.33846,1.8757143,0.875,-10.0,12600.747207667051,0.0,12590.747207667051,0,,12986.607
2020-11-25 00:00:00+00:00,86.31,86.19,,74.2115,1.8035715,0.99,-10.0,12589.062919623691,0.0,12579.062919623691,0,,12974.565
2020-11-27 00:00:00+00:00,86.44,86.66,,72.59832,1.7557143,0.875,-10.0,12657.712461263409,0.0,12647.712461263409,0,,13045.317
2020-11-30 00:00:00+00:00,86.2,86.05,,73.45022,1.7114285,0.875,-10.0,12568.614690029319,0.0,12558.614690029319,0,,12953.491
