,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2016-09-06 00:00:00+00:00,31.32,30.73,,,,0.5886524822695035,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2016-09-07 00:00:00+00:00,30.52,30.77,,,,0.5886524822695035,10000.0,0.0,0.0,10000.0,0,0.0,10013.017
2016-09-08 00:00:00+00:00,30.82,30.92,,,,0.5886524822695035,10000.0,0.0,0.0,10000.0,0,0.0,10061.828
2016-09-09 00:00:00+00:00,30.92,30.65,,,,0.5886524822695035,10000.0,0.0,0.0,10000.0,0,0.0,9973.966
2016-09-12 00:00:00+00:00,30.4,30.87,,,,0.5886524822695035,10000.0,0.0,0.0,10000.0,0,0.0,10045.557
2016-09-13 00:00:00+00:00,30.46,30.44,,,,0.5886524822695035,10000.0,0.0,0.0,10000.0,0,0.0,9905.629
2016-09-14 00:00:00+00:00,30.4,30.21,,,,0.5886524822695035,10000.0,0.0,0.0,10000.0,0,0.0,9830.782
2016-09-15 00:00:00+00:00,30.27,30.93,,,,0.5886524822695035,10000.0,0.0,0.0,10000.0,0,0.0,10065.081
2016-09-16 00:00:00+00:00,30.68,30.53,,,,0.5886524822695035,10000.0,0.0,0.0,10000.0,0,0.0,9934.915
2016-09-19 00:00:00+00:00,30.72,30.89,,,,0.5886524822695035,10000.0,0.0,0.0,10000.0,0,0.0,10052.063
2016-09-20 00:00:00+00:00,31.14,30.75,,,,0.5886524822695035,10000.0,0.0,0.0,10000.0,0,0.0,10006.505
2016-09-21 00:00:00+00:00,30.98,31.13,,,,0.5886524822695035,10000.0,0.0,0.0,10000.0,0,0.0,10130.162
2016-09-22 00:00:00+00:00,31.4,31.24,,,,0.5886524822695035,10000.0,0.0,0.0,10000.0,0,0.0,10165.958
2016-09-23 00:00:00+00:00,31.15,30.67,,57.3913,,0.5886524822695035,10000.0,0.0,0.0,10000.0,0,0.0,9980.473
2016-09-26 00:00:00+00:00,30.43,30.46,,49.25374,0.64285743,0.5886524822695035,-10.0,9995.002498750626,0.0,9985.002498750626,1,,9912.135
2016-09-27 00:00:00+00:00,30.28,30.73,,46.808506,0.5964289,0.5886524822695035,-10.0,10083.598652105224,0.0,10073.598652105224,0,,9999.996
2016-09-28 00:00:00+00:00,31.0,31.06,,49.55156,0.6314287,0.5886524822695035,-10.0,10191.883699800574,0.0,10181.883699800574,0,,10107.383
2016-09-29 00:00:00+00:00,31.05,30.69,,51.508614,0.6378573,0.5886524822695035,-10.0,10070.473848452708,0.0,10060.473848452708,0,,9986.9795
2016-09-30 00:00:00+00:00,31.03,31.57,,50.42195,0.65142876,0.5886524822695035,-10.0,10359.232279671556,0.0,10349.232279671556,0,,10273.344
