feature,importance
Close_FFD,0.050564915
ma7,0.046820812
volume_ratio,0.046489883
ma21,0.04578374
atr,0.045237586
rsi,0.04423198
vix_ma5,0.043914683
vix_change_1d,0.04388732
atr_ratio,0.043535046
price_to_sma200,0.043026604
sma200,0.04298053
return_1d,0.042915057
macd,0.041809827
rsi_slope,0.04114762
stochastic_oscillator,0.040710803
ma_spread,0.04054019
return_21d,0.0400201
vix_close,0.03835273
neutral,0.03818345
volatility_21d,0.03779708
return_5d,0.036618922
bollinger_lower,0.03649393
bollinger_upper,0.036273703
mean_sentiment_score,0.03266354
negative,0.0
positive,0.0
