feature,importance
Close_FFD,0.050283078
stochastic_oscillator,0.048840214
volatility_21d,0.04821819
vix_ma5,0.04660895
price_to_sma200,0.04629323
return_5d,0.04627114
volume_ratio,0.046159428
bollinger_lower,0.045962855
macd,0.04554791
return_1d,0.044521187
atr,0.04440481
ma21,0.04409968
atr_ratio,0.042955834
bollinger_upper,0.042539284
rsi,0.042470947
sma200,0.04230933
vix_close,0.040948685
rsi_slope,0.040623035
ma7,0.040368676
ma_spread,0.040120788
vix_change_1d,0.037830327
mean_sentiment_score,0.03680008
return_21d,0.03582232
positive,0.0
negative,0.0
neutral,0.0
