feature,importance
ma21,0.058154736
sma200,0.048666615
return_5d,0.04728224
vix_change_1d,0.046913102
bollinger_upper,0.04653821
rsi_slope,0.0464833
atr,0.045937292
rsi,0.04547642
macd,0.045110393
return_21d,0.044933535
Close_FFD,0.044400666
volume_ratio,0.04393083
price_to_sma200,0.043578207
ma_spread,0.042901445
stochastic_oscillator,0.042460468
vix_ma5,0.04201108
bollinger_lower,0.041212346
vix_close,0.039956674
volatility_21d,0.039797995
atr_ratio,0.038693566
return_1d,0.038183108
ma7,0.03807874
neutral,0.029299065
mean_sentiment_score,0.0
negative,0.0
positive,0.0
