,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2016-09-19 00:00:00+00:00,117.03879,117.95648,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2016-09-20 00:00:00+00:00,118.779564,118.05109,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10008.0205
2016-09-21 00:00:00+00:00,118.92148,120.681175,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10230.992
2016-09-22 00:00:00+00:00,121.00284,119.99054,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10172.442
2016-09-23 00:00:00+00:00,119.574265,118.2403,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10024.0625
2016-09-26 00:00:00+00:00,117.36991,118.193,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10020.052
2016-09-27 00:00:00+00:00,117.91864,120.01892,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10174.849
2016-09-28 00:00:00+00:00,120.160835,120.681175,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10230.993
2016-09-29 00:00:00+00:00,120.662254,118.278145,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10027.271
2016-09-30 00:00:00+00:00,119.29044,119.7351,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10150.788
2016-10-03 00:00:00+00:00,119.26206,118.22138,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10022.459
2016-10-04 00:00:00+00:00,119.41344,117.502365,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9961.503
2016-10-05 00:00:00+00:00,117.1807,117.45506,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9957.493
2016-10-06 00:00:00+00:00,117.31315,118.297066,,48.188656,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10028.876
2016-10-07 00:00:00+00:00,118.306526,117.1807,,51.159782,2.2104344,0.99,-5015.0,14992.503748125939,5000.0,4977.503748125939,1,,9934.234
2016-10-10 00:00:00+00:00,118.259224,117.9281,,47.544914,2.1854308,0.99,-5015.992063492064,15088.128543150302,5000.0,5072.136479658238,0,,9997.596
2016-10-11 00:00:00+00:00,117.81457,116.130554,,49.626232,2.2036765,0.99,-5016.984126984127,14858.143890126321,5000.0,4841.159763142194,0,,9845.205
2016-10-12 00:00:00+00:00,115.950806,116.717125,,35.433056,2.1820521,0.7884528956287755,-5017.976190476191,14933.192624644436,5000.0,4915.2164341682455,0,,9894.933
2016-10-13 00:00:00+00:00,115.71429,116.05487,,39.451225,2.1921883,0.99,-5018.968253968254,14848.461621675267,5000.0,4829.493367707013,0,,9838.789
2016-10-14 00:00:00+00:00,117.31315,116.50899,,42.426228,2.210434,0.99,-5019.960317460318,14906.562549060343,5000.0,4886.602231600025,0,,9877.288
2016-10-17 00:00:00+00:00,116.49953,115.941345,,44.32398,2.195567,0.99,-5020.952380952382,14833.93652917956,5000.0,4812.984148227179,0,,9829.165
2016-10-18 00:00:00+00:00,117.31315,116.26301,,34.9826,2.041492,0.99,-5021.944444444445,14875.091176630436,5000.0,4853.146732185991,0,,9856.435
2016-10-19 00:00:00+00:00,116.66036,116.06433,,33.30951,2.009055,0.9852697044334975,-5022.936507936509,14849.671651481925,5000.0,4826.735143545417,0,,9839.592
2016-10-20 00:00:00+00:00,115.912964,115.53453,,39.965694,1.8739014,0.9735912561576354,-5023.9285714285725,14781.887318009349,5000.0,4757.958746580776,0,,9794.677
2016-10-21 00:00:00+00:00,114.61684,117.30369,,29.213486,1.8056482,0.875,-5024.920634920636,15008.239267183782,5000.0,4983.318632263146,0,,9944.66
2016-10-24 00:00:00+00:00,118.31599,117.91864,,45.570766,1.877279,0.99,-5025.9126984127,15086.917676046573,5000.0,5061.004977633873,0,,9996.793
2016-10-25 00:00:00+00:00,117.70104,117.54967,,52.02953,1.732665,0.99,-5026.904761904763,15039.709729433773,5000.0,5012.804967529009,0,,9965.513
2016-10-26 00:00:00+00:00,116.736046,116.66982,,50.447212,1.7022552,0.99,-5027.896825396827,14927.139708920617,5000.0,4899.24288352379,0,,9890.922
2016-10-27 00:00:00+00:00,117.40776,116.23463,,42.335144,1.6434637,0.99,-5028.8888888888905,14871.45882257668,5000.0,4842.56993368779,0,,9854.027
2016-10-28 00:00:00+00:00,116.66036,115.685905,,45.238094,1.6799556,0.99,-5029.880952380954,14801.253534544046,5000.0,4771.372582163092,0,,9807.509
2016-10-31 00:00:00+00:00,116.177864,115.27909,,38.483982,1.704283,0.99,-5030.873015873018,14749.204114900702,5000.0,4718.331099027684,0,,9773.0205
2016-11-01 00:00:00+00:00,115.6386,114.40871,,44.897984,1.6529247,0.99,-5031.865079365081,14637.844090469789,5000.0,4605.979011104708,0,,9699.231
2016-11-02 00:00:00+00:00,114.28571,113.017975,,36.62282,1.6536009,0.5436241610738256,-5032.857142857145,14459.908933548968,5000.0,4427.051790691823,0,,9581.329
2016-11-03 00:00:00+00:00,113.008514,115.89404,,33.7715,1.6096764,0.875,-5033.8492063492085,14827.88246144091,5000.0,4794.033255091701,0,,9825.153
2016-11-04 00:00:00+00:00,115.875114,115.97919,,47.389576,1.7029315,0.99,-5034.841269841272,14838.77631172094,5000.0,4803.935041879668,0,,9832.371
2016-11-07 00:00:00+00:00,118.13624,118.69442,,50.1675,1.7441537,0.99,-5035.833333333336,15186.172738050858,5000.0,5150.3394047175225,0,,10062.561
2016-11-08 00:00:00+00:00,118.76064,119.602646,,58.880444,1.9157993,0.99,-5036.825396825399,15302.374383867424,5000.0,5265.548987042024,0,,10139.559
2016-11-09 00:00:00+00:00,118.49574,118.85525,,62.286457,2.0367618,0.99,-5037.817460317463,15206.749684705235,5000.0,5168.932224387772,0,,10076.196
2016-11-10 00:00:00+00:00,119.14854,119.5175,,61.35921,2.2219222,0.99,-5038.809523809527,15291.481107011869,5000.0,5252.671583202342,0,,10132.34
2016-11-11 00:00:00+00:00,118.9404,118.69442,,58.193275,2.2496288,0.9308548768472906,-5039.80158730159,15186.172948190753,5000.0,5146.371360889163,0,,10062.561
2016-11-14 00:00:00+00:00,119.602646,117.04825,,52.827583,2.2597651,0.875,-5040.793650793654,14975.556104484152,5000.0,4934.762453690499,0,,9923.003
2016-11-15 00:00:00+00:00,116.77389,115.354774,,48.328075,2.434113,0.9683363793103448,-5041.785714285717,14758.886867670484,5000.0,4717.101153384767,0,,9779.436
2016-11-16 00:00:00+00:00,114.92905,115.76159,,45.840797,2.5152054,0.875,-5042.777777777781,14810.936851302235,5000.0,4768.159073524454,0,,9813.925
2016-11-17 00:00:00+00:00,115.84673,117.28477,,48.501198,2.512502,0.99,-5043.769841269845,15005.816855934629,5000.0,4962.047014664784,0,,9943.055
2016-11-18 00:00:00+00:00,117.000946,115.23179,,54.771305,2.5023656,0.99,-5044.761904761908,14743.151807829148,5000.0,4698.38990306724,0,,9769.009
2016-11-21 00:00:00+00:00,115.402084,115.165565,,49.871468,2.5327754,0.99,-5045.753968253972,14734.678800762238,5000.0,4688.924832508266,0,,9763.395
2016-11-22 00:00:00+00:00,115.165565,114.29517,,52.150536,2.516557,0.99,-5046.746031746035,14623.317785765528,5000.0,4576.571754019493,0,,9689.605
2016-11-23 00:00:00+00:00,113.566696,113.72753,,53.73961,2.596297,0.875,-5047.738095238099,14550.691987309852,5000.0,4502.953892071753,0,,9641.482
2016-11-25 00:00:00+00:00,113.93567,113.45317,,42.66495,2.481417,0.5436241610738256,-5048.730158730163,14515.589339320199,5000.0,4466.859180590036,0,,9618.223
2016-11-28 00:00:00+00:00,112.84768,112.01514,,41.55598,2.4793892,0.875,-5049.722222222226,14331.602698165048,5000.0,4281.880475942822,0,,9496.311
2016-11-29 00:00:00+00:00,111.76916,113.15989,,25.587824,2.30842,0.5231788079470199,-5050.71428571429,14478.065572113657,5000.0,4427.351286399367,0,,9593.359
2016-11-30 00:00:00+00:00,113.63292,112.57332,,26.85252,2.2340856,0.5436241610738256,-5051.7063492063535,14403.017396627067,5000.0,4351.311047420713,0,,9543.631
2016-12-01 00:00:00+00:00,112.96121,109.99054,,27.166466,2.125963,0.5436241610738256,-5052.698412698417,14072.567823865586,5000.0,4019.8694111671684,0,,9324.671
2016-12-02 00:00:00+00:00,110.03784,109.45128,,19.613781,2.1685367,0.5436241610738256,-5053.690476190481,14003.573119002034,5000.0,3949.8826428115535,0,,9278.954
2016-12-05 00:00:00+00:00,110.01892,108.11731,,19.975435,2.1935403,0.5436241610738256,-5054.682539682544,13832.90066532115,5000.0,3778.2181256386066,0,,9165.864
2016-12-06 00:00:00+00:00,108.533585,107.4456,,20.388977,2.1293428,0.5436241610738256,-5055.674603174608,13746.960022067322,5000.0,3691.285418892714,0,,9108.919
2016-12-07 00:00:00+00:00,107.738884,108.17408,,21.870823,2.0827153,0.5436241610738256,-5056.6666666666715,13840.163161884448,5000.0,3783.496495217776,0,,9170.677
2016-12-08 00:00:00+00:00,108.259224,108.06055,,23.618437,2.0746062,0.875,-5057.658730158735,13825.637653423779,5000.0,3767.9789232650437,0,,9161.052
2016-12-09 00:00:00+00:00,108.05109,108.798485,,14.442034,2.0529819,0.99,-5058.650793650799,13920.051607798137,5000.0,3861.4008141473387,0,,9223.611
2016-12-12 00:00:00+00:00,108.798485,107.37938,,22.402613,2.0245993,0.99,-5059.642857142862,13738.48675619,5000.0,3678.843899047137,0,,9103.304
2016-12-13 00:00:00+00:00,107.80511,110.397354,,20.072748,2.0354114,0.5436241610738256,-5060.634920634926,14124.617034960136,5000.0,4063.98211432521,0,,9359.159
2016-12-14 00:00:00+00:00,110.0473,108.73226,,37.14109,2.1306949,0.99,-5061.62698412699,13911.579434310033,5000.0,3849.9524501830438,0,,9217.998
2016-12-15 00:00:00+00:00,108.42006,108.13624,,34.6333,2.1867833,0.9608732758620689,-5062.619047619053,13835.322539085204,5000.0,3772.703491466151,0,,9167.469
2016-12-16 00:00:00+00:00,107.90918,107.000946,,33.961197,2.207732,0.99,-5063.611111111117,13690.069603394806,5000.0,3626.4584922836893,0,,9071.223
2016-12-19 00:00:00+00:00,106.8685,106.52791,,34.593033,2.2063806,0.875,-5064.60317460318,13629.54749636085,5000.0,3564.94432175767,0,,9031.12
2016-12-20 00:00:00+00:00,106.77389,106.26301,,28.744688,2.1719165,0.875,-5065.595238095244,13595.655634206803,5000.0,3530.0603961115594,0,,9008.663
2016-12-21 00:00:00+00:00,106.39546,105.676445,,29.34985,2.0854182,0.99,-5066.587301587308,13520.608613734023,5000.0,3454.021312146715,0,,8958.936
2016-12-22 00:00:00+00:00,105.59129,103.784294,,33.76069,1.8786333,0.875,8191.023401116237,0.0,0.0,8191.023401116237,-1,0.0,8798.524
2016-12-23 00:00:00+00:00,103.66131,103.14097,,30.639944,1.8766054,0.875,-4107.798235659791,12280.394904222245,4095.511700558118,4077.0849680043357,1,100.96634674072266,8743.985
2016-12-27 00:00:00+00:00,103.69915,103.528854,,32.157413,1.7738887,0.875,-4108.61083718768,12326.57772955435,4095.511700558118,4122.455191808553,0,100.96634674072266,8776.868
2016-12-28 00:00:00+00:00,103.65185,102.8193,,35.664806,1.7083386,0.5436241610738256,-4109.423438715568,12242.095067662738,4095.511700558118,4037.159928389052,0,100.96634674072266,8716.715
2016-12-29 00:00:00+00:00,103.07474,102.753075,,30.374458,1.6556288,0.5436241610738256,-4110.236040243457,12234.210083687973,4095.511700558118,4028.462342886398,0,100.96634674072266,8711.101
2016-12-30 00:00:00+00:00,102.56386,101.740776,,30.480158,1.6144066,0.875,-4111.0486417713455,12113.681659086276,4095.511700558118,3907.121316756813,0,100.96634674072266,8625.281
2017-01-03 00:00:00+00:00,102.56386,102.54494,,24.556602,1.5914307,0.5436241610738256,-4111.861243299234,12209.428837727126,4095.511700558118,4002.055893869774,0,100.96634674072266,8693.455
2017-01-04 00:00:00+00:00,102.83822,105.71429,,31.762997,1.561021,0.99,-4112.673844827123,12586.784625128583,4095.511700558118,4378.599079743342,0,100.96634674072266,8962.143
2017-01-05 00:00:00+00:00,105.24125,106.51845,,32.53351,1.5441267,0.99,-4113.486446355011,12682.532084122817,4095.511700558118,4473.533937209688,0,103.37275695800781,9030.317
2017-01-06 00:00:00+00:00,106.58467,108.42006,,41.17646,1.5542635,0.99,-4114.2990478829,12908.94604426042,4095.511700558118,4699.135295819402,0,104.20225524902344,9191.531
2017-01-09 00:00:00+00:00,108.13624,107.17124,,51.024586,1.6488713,0.99,-4115.111649410788,12760.256936465474,4095.511700558118,4549.633586496568,0,106.08866119384766,9085.66
2017-01-10 00:00:00+00:00,106.88742,105.345314,,50.609764,1.664414,0.99,-4115.924250938677,12542.854680752951,4095.511700558118,4331.418729256156,0,106.08866119384766,8930.863
2017-01-11 00:00:00+00:00,105.45885,105.931885,,46.139584,1.7394246,0.99,8477.037747570641,0.0,0.0,8477.037747570641,-1,0.0,8980.591
2017-01-12 00:00:00+00:00,105.85619,106.51845,,48.941326,1.77051,0.99,-4251.2344304066755,12709.202020345789,4238.5188737853205,4219.448716153793,1,103.32274627685547,9030.318
2017-01-13 00:00:00+00:00,106.83065,106.35761,,52.692066,1.8428171,0.99,-4252.075406373697,12690.012334430116,4238.5188737853205,4199.418054271098,0,103.86268615722656,9016.683
2017-01-17 00:00:00+00:00,105.9035,107.79565,,59.25169,1.8076771,0.875,-4252.916382340718,12861.590407809044,4238.5188737853205,4370.155151683006,0,103.86268615722656,9138.595
2017-01-18 00:00:00+00:00,108.24976,108.23084,,65.83009,1.9036359,0.99,-4253.757358307739,12913.516005279002,4238.5188737853205,4421.239773185942,0,105.0841293334961,9175.489
2017-01-19 00:00:00+00:00,108.07947,108.23084,,65.93969,1.9360733,0.99,-4254.59833427476,12913.516005279002,4238.5188737853205,4420.398797218921,0,105.3753890991211,9175.489
2017-01-20 00:00:00+00:00,108.65658,109.74456,,69.272224,1.9239093,0.99,-4255.439310241782,13094.124330079416,4238.5188737853205,4600.166146052314,0,105.3753890991211,9303.817
2017-01-23 00:00:00+00:00,109.649956,109.848625,,72.571754,1.986756,0.99,-4256.280286208803,13106.540056850943,4238.5188737853205,4611.74089685682,0,106.85869598388672,9312.64
2017-01-24 00:00:00+00:00,110.104065,110.614944,,77.80658,1.9779707,0.99,-4257.121262175824,13197.972953003311,4238.5188737853205,4702.332817042166,0,106.86849212646484,9377.605
2017-01-25 00:00:00+00:00,111.08798,113.93567,,77.748825,1.990811,0.99,9315.830434460151,0.0,0.0,9315.830434460151,-1,0.0,9659.127
2017-01-26 00:00:00+00:00,114.13434,114.588455,,77.97808,1.9779712,0.99,9315.830434460151,0.0,0.0,9315.830434460151,0,0.0,9714.468
2017-01-27 00:00:00+00:00,114.51277,114.18165,,77.748825,1.9198549,0.99,9315.830434460151,0.0,0.0,9315.830434460151,0,0.0,9679.98
2017-01-30 00:00:00+00:00,114.44655,114.11542,,72.08121,1.7394246,0.875,9315.830434460151,0.0,0.0,9315.830434460151,0,0.0,9674.365
2017-01-31 00:00:00+00:00,113.87891,113.69915,,79.2663,1.7482092,0.9460767980295567,-4671.888962881767,13966.762270554951,4657.915217230076,4636.958090443108,1,111.50627899169922,9639.075
2017-02-01 00:00:00+00:00,114.16273,113.12205,,89.954765,1.6921202,0.99,-4672.813152408995,13895.871271243064,4657.915217230076,4565.142901603993,0,111.50627899169922,9590.149
2017-02-02 00:00:00+00:00,112.73415,113.92621,,84.42032,1.7049593,0.875,-4673.737341936223,13994.654346041414,4657.915217230076,4663.001786875115,0,111.50627899169922,9658.324
2017-02-03 00:00:00+00:00,115.03311,115.98865,,84.73827,1.6779283,0.875,-4674.661531463451,14248.002959261175,4657.915217230076,4915.426210567648,0,111.50627899169922,9833.171
2017-02-06 00:00:00+00:00,115.53453,116.25355,,88.328354,1.7387472,0.99,-4675.585720990679,14280.54271325773,4657.915217230076,4947.041775036974,0,113.47175598144531,9855.629
