feature,importance
rsi,0.049983807
rsi_slope,0.049533483
volatility_21d,0.048767395
stochastic_oscillator,0.048302364
Close_FFD,0.046681553
atr,0.04650543
sma200,0.046131793
ma7,0.045735028
return_5d,0.045692872
return_1d,0.044661675
vix_change_1d,0.044468157
vix_ma5,0.044016328
atr_ratio,0.043801807
bollinger_upper,0.04367394
volume_ratio,0.04269
bollinger_lower,0.042589992
vix_close,0.042239
return_21d,0.041290022
ma21,0.041098554
ma_spread,0.040652946
price_to_sma200,0.038805205
macd,0.036345676
mean_sentiment_score,0.02633296
positive,0.0
negative,0.0
neutral,0.0
