feature,importance
vix_ma5,0.06160597
price_to_sma200,0.053386297
atr_ratio,0.052076224
rsi_slope,0.051825292
ma21,0.051639013
atr,0.051289488
return_1d,0.051165532
return_5d,0.05084435
volume_ratio,0.049260985
vix_close,0.048208863
vix_change_1d,0.04814841
ma_spread,0.04545266
bollinger_upper,0.04544223
volatility_21d,0.045370564
rsi,0.044620536
return_21d,0.04455655
bollinger_lower,0.04349292
ma7,0.042632964
stochastic_oscillator,0.042038422
macd,0.04132342
sma200,0.035619322
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
