,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2018-11-01 00:00:00+00:00,241.54,241.54,,,,0.4074074074074074,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-27 00:00:00+00:00,296.17,297.68,,,,0.4074074074074074,10000.0,0.0,0.0,10000.0,0,0.0,12324.253
2020-07-28 00:00:00+00:00,297.04,295.82,,,,0.4074074074074074,10000.0,0.0,0.0,10000.0,0,0.0,12247.248
2020-07-29 00:00:00+00:00,296.63,299.43,,,,0.5357142857142857,10000.0,0.0,0.0,10000.0,0,0.0,12396.705
2020-07-30 00:00:00+00:00,296.25,298.32,,,,0.4074074074074074,10000.0,0.0,0.0,10000.0,0,0.0,12350.751
2020-07-31 00:00:00+00:00,300.11,300.7,,,,0.5357142857142857,10000.0,0.0,0.0,10000.0,0,0.0,12449.286
2020-08-03 00:00:00+00:00,302.37,302.74,,,,0.01,10000.0,0.0,0.0,10000.0,0,0.0,12533.743
2020-08-04 00:00:00+00:00,302.18,303.88,,,,0.4074074074074074,10000.0,0.0,0.0,10000.0,0,0.0,12580.942
2020-08-05 00:00:00+00:00,305.2,305.8,,,,0.01,10000.0,0.0,0.0,10000.0,0,0.0,12660.431
2020-08-06 00:00:00+00:00,305.23,307.83,,,,0.01,10000.0,0.0,0.0,10000.0,0,0.0,12744.475
2020-08-07 00:00:00+00:00,306.89,308.12,,,,0.01,10000.0,0.0,0.0,10000.0,0,0.0,12756.481
2020-08-10 00:00:00+00:00,308.54,308.97,,,,0.01,10000.0,0.0,0.0,10000.0,0,0.0,12791.673
2020-08-11 00:00:00+00:00,310.28,306.57,,,,0.01,10000.0,0.0,0.0,10000.0,0,0.0,12692.311
2020-08-12 00:00:00+00:00,308.9,310.72,,92.912766,,0.5217391304347826,10000.0,0.0,0.0,10000.0,0,0.0,12864.125
2020-08-13 00:00:00+00:00,310.02,310.22,,93.28078,6.964286,0.5217391304347826,10000.0,0.0,0.0,10000.0,0,0.0,12843.424
2020-08-14 00:00:00+00:00,309.83,310.2,,92.70082,7.115,0.5357142857142857,10000.0,0.0,0.0,10000.0,0,0.0,12842.597
2020-08-17 00:00:00+00:00,311.2,311.12,,75.761314,3.205,0.5681818181818182,10000.0,0.0,0.0,10000.0,0,0.0,12880.686
2020-08-18 00:00:00+00:00,311.57,311.83,,82.74829,3.1192858,0.5681818181818182,10000.0,0.0,0.0,10000.0,0,0.0,12910.079
2020-08-19 00:00:00+00:00,312.21,310.59,,80.30303,2.9842858,0.5681818181818182,10000.0,0.0,0.0,10000.0,0,0.0,12858.741
2020-08-20 00:00:00+00:00,308.85,311.45,,79.79602,2.8142858,0.5681818181818182,10000.0,0.0,0.0,10000.0,0,0.0,12894.347
