feature,importance
stochastic_oscillator,0.048174024
volume_ratio,0.046475124
atr_ratio,0.046130285
Close_FFD,0.04534241
volatility_21d,0.04416799
bollinger_upper,0.04413859
rsi,0.044051856
return_1d,0.043792818
macd,0.043106295
return_21d,0.042743713
ma_spread,0.042293813
sma200,0.042232785
ma21,0.04198406
rsi_slope,0.041794293
vix_close,0.04178911
return_5d,0.04154537
price_to_sma200,0.041511405
atr,0.041252006
bollinger_lower,0.04106089
ma7,0.040469978
vix_ma5,0.039417982
vix_change_1d,0.036037266
mean_sentiment_score,0.032789912
neutral,0.027698021
negative,0.0
positive,0.0
