feature,importance
bollinger_upper,0.053014353
price_to_sma200,0.049370382
stochastic_oscillator,0.0470844
rsi,0.046529926
ma21,0.046511646
macd,0.045973904
atr,0.044839136
return_21d,0.044413023
rsi_slope,0.044279695
Close_FFD,0.04427599
vix_ma5,0.042586856
sma200,0.042446893
volume_ratio,0.042340312
ma7,0.04172832
return_5d,0.040807616
ma_spread,0.040416557
volatility_21d,0.040124323
vix_close,0.040061917
bollinger_lower,0.039551705
return_1d,0.03900852
atr_ratio,0.03769106
vix_change_1d,0.037068136
mean_sentiment_score,0.029782545
neutral,0.020092828
negative,0.0
positive,0.0
