feature,importance
atr_ratio,0.04893529
Close_FFD,0.04799098
volatility_21d,0.047445774
ma_spread,0.04737437
sma200,0.046608415
bollinger_upper,0.04610508
return_21d,0.046015788
rsi,0.04479027
ma7,0.044188216
ma21,0.04368023
vix_ma5,0.04347272
return_5d,0.04340258
price_to_sma200,0.04322941
stochastic_oscillator,0.043098383
mean_sentiment_score,0.04297629
vix_change_1d,0.042752825
return_1d,0.042539995
macd,0.041706633
volume_ratio,0.041268915
vix_close,0.04073181
bollinger_lower,0.03913157
atr,0.036743112
rsi_slope,0.035811353
positive,0.0
negative,0.0
neutral,0.0
