feature,importance
bollinger_lower,0.051729914
return_21d,0.049135722
atr_ratio,0.04876217
Close_FFD,0.047797233
stochastic_oscillator,0.04690092
volume_ratio,0.046250734
vix_ma5,0.045944333
sma200,0.04503424
return_5d,0.04486803
ma7,0.044767465
atr,0.04464237
vix_change_1d,0.044339854
return_1d,0.044176877
volatility_21d,0.043677323
ma21,0.04294067
rsi_slope,0.042708904
rsi,0.04254677
price_to_sma200,0.041833915
bollinger_upper,0.04177059
vix_close,0.03960699
macd,0.03851618
ma_spread,0.03394886
mean_sentiment_score,0.028099928
positive,0.0
negative,0.0
neutral,0.0
