feature,importance
atr_ratio,0.04804019
ma_spread,0.0478106
Close_FFD,0.046608754
bollinger_lower,0.045796953
price_to_sma200,0.045130443
stochastic_oscillator,0.044869214
return_1d,0.04423614
macd,0.04407341
ma7,0.04356244
bollinger_upper,0.043200225
rsi,0.042919524
vix_close,0.0424443
ma21,0.042276762
return_5d,0.04226304
volatility_21d,0.042051513
atr,0.040103924
vix_ma5,0.03934946
volume_ratio,0.03933989
return_21d,0.03932528
vix_change_1d,0.03890932
rsi_slope,0.037134502
sma200,0.036895238
neutral,0.033259768
mean_sentiment_score,0.030399146
negative,0.0
positive,0.0
