,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2019-09-10 00:00:00+00:00,44.33,44.33,,,,0.6296296296296297,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-27 00:00:00+00:00,66.57,67.33,,,,0.6296296296296297,10000.0,0.0,0.0,10000.0,0,0.0,15188.36
2020-07-28 00:00:00+00:00,67.59,66.08,,,,0.6296296296296297,10000.0,0.0,0.0,10000.0,0,0.0,14906.384
2020-07-29 00:00:00+00:00,66.76,66.7,,,,0.6296296296296297,10000.0,0.0,0.0,10000.0,0,0.0,15046.242
2020-07-30 00:00:00+00:00,66.66,67.16,,,,0.6296296296296297,10000.0,0.0,0.0,10000.0,0,0.0,15150.011
2020-07-31 00:00:00+00:00,68.49,66.66,,,,0.6296296296296297,10000.0,0.0,0.0,10000.0,0,0.0,15037.22
2020-08-03 00:00:00+00:00,68.05,67.87,,,,0.6296296296296297,10000.0,0.0,0.0,10000.0,0,0.0,15310.172
2020-08-04 00:00:00+00:00,67.56,67.2,,,,0.6296296296296297,10000.0,0.0,0.0,10000.0,0,0.0,15159.031
2020-08-05 00:00:00+00:00,67.52,65.2,,,,0.6296296296296297,10000.0,0.0,0.0,10000.0,0,0.0,14707.869
2020-08-06 00:00:00+00:00,65.89,64.83,,,,0.6296296296296297,10000.0,0.0,0.0,10000.0,0,0.0,14624.405
2020-08-07 00:00:00+00:00,65.69,64.59,,,,0.6296296296296297,10000.0,0.0,0.0,10000.0,0,0.0,14570.264
2020-08-10 00:00:00+00:00,64.09,62.79,,,,0.6296296296296297,10000.0,0.0,0.0,10000.0,0,0.0,14164.219
2020-08-11 00:00:00+00:00,63.12,63.65,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,14358.218
2020-08-12 00:00:00+00:00,64.01,64.1,,79.29048,,0.47126436781609177,10000.0,0.0,0.0,10000.0,0,0.0,14459.728
2020-08-13 00:00:00+00:00,64.29,64.78,,79.56925,3.262143,0.47126436781609177,10000.0,0.0,0.0,10000.0,0,0.0,14613.123
2020-08-14 00:00:00+00:00,64.23,63.5,,79.97655,3.3264287,0.47126436781609177,10000.0,0.0,0.0,10000.0,0,0.0,14324.38
2020-08-17 00:00:00+00:00,63.59,64.12,,34.543987,1.8092858,0.99,10000.0,0.0,0.0,10000.0,0,0.0,14464.241
2020-08-18 00:00:00+00:00,64.03,63.79,,41.666668,1.8128572,0.8048704113012466,-5015.0,14992.503748125939,5000.0,4977.503748125939,1,61.40607452392578,14389.8
2020-08-19 00:00:00+00:00,63.98,63.31,,37.314735,1.7485714,0.99,-5015.992063492064,14879.690117385615,5000.0,4863.698053893551,0,61.40607452392578,14281.5205
2020-08-20 00:00:00+00:00,63.25,62.93,,33.2463,1.7464286,0.6296296296296297,-5016.984126984127,14790.378537054836,5000.0,4773.394410070709,0,61.40607452392578,14195.8
2020-08-21 00:00:00+00:00,63.08,62.81,,33.597187,1.6035714,0.99,-5017.976190476191,14762.175181375474,5000.0,4744.198990899284,0,61.40607452392578,14168.7295
2020-08-24 00:00:00+00:00,62.52,60.99,,25.389105,1.5414286,0.99,-5018.968253968254,14334.42253130236,5000.0,4315.454277334105,0,61.40607452392578,13758.173
2020-08-25 00:00:00+00:00,61.68,61.13,,22.834646,1.3671429,0.99,-5019.960317460318,14367.327113357303,5000.0,4347.366795896985,0,61.40607452392578,13789.755
2020-08-26 00:00:00+00:00,61.01,61.52,,28.735632,1.2342857,0.99,9416.347537641665,0.0,0.0,9416.347537641665,-1,0.0,13877.731
2020-08-27 00:00:00+00:00,60.35,61.62,,32.74244,1.13,0.6296296296296297,-4722.298290127295,14117.46257517491,4708.173768820832,4686.990516226782,1,59.66857147216797,13900.288
2020-08-28 00:00:00+00:00,61.5,61.44,,34.285713,1.1335714,0.6296296296296297,-4723.232451589363,14076.223151223598,4708.173768820832,4644.816930813402,0,59.92499923706055,13859.684
2020-08-31 00:00:00+00:00,61.76,62.3,,41.37931,1.0485715,0.99,-4724.166613051431,14273.25417784846,4708.173768820832,4840.913795976196,0,59.92499923706055,14053.684
2020-09-01 00:00:00+00:00,62.28,62.71,,41.37931,1.0221429,0.6063870844020424,-4725.100774513499,14367.18743472997,4708.173768820832,4933.912891395639,0,60.727142333984375,14146.172
