feature,importance
ma21,0.06534487
sma200,0.053902205
bollinger_upper,0.053453017
atr,0.047096334
price_to_sma200,0.04671165
rsi,0.045716908
ma_spread,0.045027874
vix_ma5,0.044080034
mean_sentiment_score,0.043316547
volatility_21d,0.04290584
Close_FFD,0.042681612
volume_ratio,0.042521458
return_5d,0.042071193
vix_change_1d,0.04173806
atr_ratio,0.04148772
return_1d,0.040132016
macd,0.039364673
return_21d,0.03856461
rsi_slope,0.038441602
ma7,0.038092162
stochastic_oscillator,0.03731912
vix_close,0.03570382
bollinger_lower,0.034326684
positive,0.0
negative,0.0
neutral,0.0
