feature,importance
vix_close,0.055395763
return_21d,0.052959763
sma200,0.050285097
volume_ratio,0.05002814
bollinger_upper,0.05002364
atr,0.04814967
bollinger_lower,0.047017645
price_to_sma200,0.046909846
volatility_21d,0.046389155
ma_spread,0.04544054
ma21,0.04543353
return_1d,0.045065995
ma7,0.04454304
atr_ratio,0.044504825
Close_FFD,0.04448836
macd,0.043440282
return_5d,0.042591576
rsi,0.040702876
vix_change_1d,0.04068782
vix_ma5,0.039501857
stochastic_oscillator,0.038811404
rsi_slope,0.03762915
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
