feature,importance
return_21d,0.050627243
ma_spread,0.05057177
bollinger_lower,0.05054881
rsi,0.05026294
ma21,0.050052527
return_5d,0.04851598
volume_ratio,0.04783553
macd,0.04687662
atr,0.046804108
sma200,0.04660308
bollinger_upper,0.046153888
atr_ratio,0.045843016
price_to_sma200,0.045174368
volatility_21d,0.043741696
rsi_slope,0.04357244
vix_change_1d,0.042914245
return_1d,0.042692278
ma7,0.041595064
stochastic_oscillator,0.04143975
vix_ma5,0.04052125
Close_FFD,0.040383857
vix_close,0.03726956
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
