feature,importance
ma21,0.053580854
sma200,0.049882732
bollinger_upper,0.04862612
vix_ma5,0.04787656
vix_close,0.04679183
price_to_sma200,0.04518268
volatility_21d,0.04485522
atr_ratio,0.044812705
rsi_slope,0.044670627
stochastic_oscillator,0.044185467
return_1d,0.04386528
ma7,0.043856055
bollinger_lower,0.043538805
rsi,0.042877935
atr,0.04277259
return_21d,0.042768054
ma_spread,0.040858753
volume_ratio,0.040386915
Close_FFD,0.040093314
return_5d,0.03996744
macd,0.039412227
vix_change_1d,0.039116427
mean_sentiment_score,0.030021403
positive,0.0
negative,0.0
neutral,0.0
