feature,importance
sma200,0.052175816
atr,0.051492427
price_to_sma200,0.04950235
Close_FFD,0.047520097
atr_ratio,0.047195144
volatility_21d,0.045810472
return_1d,0.04475176
rsi,0.044395145
return_5d,0.043878015
bollinger_lower,0.0432219
vix_ma5,0.04312541
rsi_slope,0.042912696
macd,0.04284392
vix_change_1d,0.042404633
volume_ratio,0.04220461
ma7,0.04209172
return_21d,0.04182753
ma_spread,0.041626893
ma21,0.041368354
stochastic_oscillator,0.041152064
bollinger_upper,0.03932392
vix_close,0.037710827
mean_sentiment_score,0.031464357
positive,0.0
negative,0.0
neutral,0.0
