feature,importance
atr_ratio,0.049503896
macd,0.048173964
return_5d,0.046035025
volume_ratio,0.045935433
vix_change_1d,0.045787696
ma_spread,0.04483145
sma200,0.044336982
volatility_21d,0.04429205
rsi_slope,0.04404919
vix_close,0.04385748
price_to_sma200,0.043762572
ma21,0.04280817
return_1d,0.042337038
bollinger_upper,0.041881412
Close_FFD,0.041654333
bollinger_lower,0.041454215
return_21d,0.04124085
ma7,0.040957417
rsi,0.04081741
atr,0.039385658
vix_ma5,0.038339056
stochastic_oscillator,0.037987147
neutral,0.02655368
mean_sentiment_score,0.024017822
negative,0.0
positive,0.0
