feature,importance
bollinger_upper,0.05522882
ma7,0.054172862
ma_spread,0.048732154
vix_close,0.04816016
price_to_sma200,0.048038486
sma200,0.047432594
return_21d,0.047133464
atr,0.046717737
Close_FFD,0.045573995
return_1d,0.04503186
rsi,0.044887584
vix_change_1d,0.044338126
ma21,0.043761384
macd,0.043350015
return_5d,0.04316091
atr_ratio,0.043046053
vix_ma5,0.04259371
bollinger_lower,0.042575732
volume_ratio,0.042383026
rsi_slope,0.042236686
volatility_21d,0.041769646
stochastic_oscillator,0.039675012
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
