feature,importance
ma21,0.055457786
Close_FFD,0.05399242
bollinger_lower,0.051335283
return_5d,0.0507437
return_1d,0.0491456
bollinger_upper,0.04848956
atr,0.047266036
sma200,0.047007114
vix_change_1d,0.046837207
vix_close,0.046423186
vix_ma5,0.04621489
volume_ratio,0.04556805
rsi,0.04506984
rsi_slope,0.044638466
ma7,0.044023287
volatility_21d,0.042134166
return_21d,0.041797224
macd,0.040366612
ma_spread,0.04009917
stochastic_oscillator,0.039481804
atr_ratio,0.038169414
price_to_sma200,0.035739195
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
