feature,importance
ma_spread,0.048991516
return_21d,0.048677597
ma21,0.047575116
rsi_slope,0.047453906
bollinger_lower,0.047151536
bollinger_upper,0.046994884
macd,0.045806486
return_5d,0.045226723
vix_change_1d,0.044970352
return_1d,0.04445771
rsi,0.044052303
mean_sentiment_score,0.0437871
atr_ratio,0.043625135
Close_FFD,0.0432153
volatility_21d,0.042006545
vix_close,0.041588757
sma200,0.040851153
volume_ratio,0.040729355
vix_ma5,0.039458398
atr,0.039004385
stochastic_oscillator,0.03833299
price_to_sma200,0.038154002
ma7,0.037888754
positive,0.0
negative,0.0
neutral,0.0
