feature,importance
bollinger_lower,0.05525262
sma200,0.053064495
Close_FFD,0.052282117
return_21d,0.049901474
ma21,0.049137298
ma_spread,0.04868765
price_to_sma200,0.047360238
vix_ma5,0.046492852
atr_ratio,0.04541765
bollinger_upper,0.045339134
vix_change_1d,0.04448794
vix_close,0.04434875
volume_ratio,0.044102274
volatility_21d,0.044074193
rsi,0.043639332
return_5d,0.043258246
ma7,0.042751767
rsi_slope,0.0413916
stochastic_oscillator,0.041168947
return_1d,0.04100198
atr,0.039573856
macd,0.037265558
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
