feature,importance
bollinger_upper,0.05016891
Close_FFD,0.045234855
sma200,0.04520611
stochastic_oscillator,0.04495208
volume_ratio,0.044943288
macd,0.044796534
ma21,0.044756867
return_21d,0.044431556
atr,0.04347978
ma_spread,0.04314053
rsi_slope,0.043111518
price_to_sma200,0.042908676
vix_ma5,0.04277878
rsi,0.042649206
vix_close,0.041751657
volatility_21d,0.041686554
atr_ratio,0.040988695
return_1d,0.04093994
mean_sentiment_score,0.03959501
vix_change_1d,0.038929198
return_5d,0.038296375
ma7,0.037454408
bollinger_lower,0.036542352
neutral,0.021257075
negative,0.0
positive,0.0
