feature,importance
sma200,0.04764675
macd,0.045521524
stochastic_oscillator,0.045516133
vix_close,0.045339577
bollinger_lower,0.045248304
volatility_21d,0.04515551
bollinger_upper,0.044785716
rsi,0.044607803
vix_change_1d,0.04363807
volume_ratio,0.043532148
price_to_sma200,0.042775635
vix_ma5,0.042371098
return_5d,0.041820068
ma21,0.041621882
ma_spread,0.04126645
atr,0.040868282
return_21d,0.040510464
ma7,0.040411487
atr_ratio,0.040303074
return_1d,0.03935921
rsi_slope,0.03914261
Close_FFD,0.03718819
mean_sentiment_score,0.03468811
neutral,0.026681893
negative,0.0
positive,0.0
