feature,importance
rsi,0.05041811
vix_change_1d,0.049686976
return_21d,0.046685673
macd,0.04643638
volume_ratio,0.046029866
rsi_slope,0.045582328
bollinger_upper,0.04544584
bollinger_lower,0.04541422
price_to_sma200,0.044679888
sma200,0.0438934
atr,0.04374917
ma_spread,0.043055903
Close_FFD,0.04282858
stochastic_oscillator,0.041181367
vix_ma5,0.040768936
volatility_21d,0.039605703
return_1d,0.038674295
atr_ratio,0.038134925
return_5d,0.037726168
ma7,0.035969708
vix_close,0.035856422
ma21,0.035492174
mean_sentiment_score,0.03376041
positive,0.026768079
neutral,0.002155521
negative,0.0
