feature,importance
atr,0.05600482
return_21d,0.048679788
sma200,0.047164023
rsi,0.04677185
atr_ratio,0.04645929
vix_ma5,0.0458854
ma_spread,0.04526807
volume_ratio,0.04519339
vix_close,0.045059346
bollinger_upper,0.043856695
stochastic_oscillator,0.043519493
Close_FFD,0.043183833
return_5d,0.042991616
volatility_21d,0.04286692
rsi_slope,0.042578716
macd,0.042159718
price_to_sma200,0.041351374
vix_change_1d,0.041132435
ma21,0.04106484
ma7,0.039846223
bollinger_lower,0.038002215
return_1d,0.037403695
mean_sentiment_score,0.033556174
positive,0.0
negative,0.0
neutral,0.0
