feature,importance
neutral,0.0729389
Close_FFD,0.049755555
bollinger_upper,0.045532122
ma7,0.04432999
bollinger_lower,0.04412544
return_1d,0.043578602
atr,0.04330507
rsi,0.043111462
atr_ratio,0.04270468
return_5d,0.042381495
return_21d,0.041911148
macd,0.03970022
volume_ratio,0.039291587
sma200,0.039083913
ma21,0.03905001
rsi_slope,0.038564295
volatility_21d,0.038360775
price_to_sma200,0.037836306
ma_spread,0.03779528
vix_close,0.037171412
vix_ma5,0.036634788
stochastic_oscillator,0.036439236
vix_change_1d,0.036112096
mean_sentiment_score,0.0302856
negative,0.0
positive,0.0
