feature,importance
bollinger_upper,0.04986944
price_to_sma200,0.049198538
Close_FFD,0.047085755
macd,0.046902478
atr,0.04589695
bollinger_lower,0.044049352
volume_ratio,0.043650463
return_21d,0.04332534
vix_ma5,0.043094836
ma21,0.042604845
atr_ratio,0.0424151
volatility_21d,0.041835584
ma7,0.041777678
return_5d,0.04177381
vix_close,0.04127205
sma200,0.04089079
stochastic_oscillator,0.04078803
ma_spread,0.04030765
rsi_slope,0.040288717
neutral,0.038251594
return_1d,0.036307354
vix_change_1d,0.03580358
rsi,0.035155892
mean_sentiment_score,0.02745421
negative,0.0
positive,0.0
