feature,importance
ma21,0.056449037
bollinger_upper,0.05217137
bollinger_lower,0.050025396
ma7,0.04963572
sma200,0.049297653
atr,0.047593508
rsi,0.042443138
vix_close,0.04201013
atr_ratio,0.04174755
macd,0.041275002
Close_FFD,0.040909402
vix_change_1d,0.04026798
return_21d,0.04007429
vix_ma5,0.03986296
volatility_21d,0.039492663
return_5d,0.03946599
rsi_slope,0.03896436
stochastic_oscillator,0.03729302
price_to_sma200,0.036788765
ma_spread,0.036739312
neutral,0.03621648
return_1d,0.035556015
mean_sentiment_score,0.03331388
volume_ratio,0.03240644
negative,0.0
positive,0.0
